packet_size_mean,packet_size_std,packet_size_p90,iat_mean_ms,iat_std_ms,iat_p95_ms,flow_duration_sec,bytes_up_down_ratio,packet_entropy,mtu_proximity_ratio,small_packet_ratio,label,source,capture_id
341.0,474.4631703304272,1322.0,43.030839217336556,67.08298699421167,180.47549724578857,0.8175859451293945,0.0975217251367879,7.8583130859353165,0.0,0.65,E-mail,vpn_email2b.pcap,vpn_email2b.pcap
712.0,648.0,1360.0,0.38431820116545024,0.9325915220783442,1.3881444931030318,0.007302045822143555,21.25,7.9587128822630895,0.0,0.5,Bulk File Transfer,vpn_sftp_B.pcap,vpn_sftp_B.pcap
967.6,599.4009009002239,1360.0,0.08768784372430098,0.12188232437168858,0.26471614837646523,0.0016660690307617188,61.02564102564103,7.977717696348055,0.0,0.3,Video streaming,vpn_netflix_A.pcap,vpn_netflix_A.pcap
1126.0,480.0524971292202,1360.0,0.01858410082365337,0.043141904296153215,0.10330677032470716,0.00035309791564941406,0.006975496333392953,7.982357969869138,0.0,0.15,Bulk File Transfer,vpn_ftps_A.pcap,vpn_ftps_A.pcap
138.5,20.350675664458908,143.0,9.410469155562552,3.9782479808450866,14.980936050415039,0.17879891395568848,1.1522921522921523,7.577488644844407,0.0,1.0,VoIP,vpn_hangouts_audio1.pcap,vpn_hangouts_audio1.pcap
126.3,30.033481316690544,148.1,13.553782513267116,6.560012682182875,20.291686058044434,0.2575218677520752,6.135593220338983,7.4618411868973205,0.0,1.0,VoIP,vpn_hangouts_audio2.pcap,vpn_hangouts_audio2.pcap
610.45,622.1006731229279,1360.0,17.77815818786621,44.46435607557903,90.70456027984633,0.337785005569458,24.757383966244724,7.953723834189012,0.0,0.5,E-mail,vpn_email2b.pcap,vpn_email2b.pcap
967.6,599.4009009002239,1360.0,0.19426094858269943,0.3434855787039785,0.5418777465820328,0.003690958023071289,61.02564102564103,7.980677872421311,0.0,0.3,Video streaming,vpn_youtube_A.pcap,vpn_youtube_A.pcap
902.2,623.8762377266825,1360.0,0.3866772902639289,0.5443052176265089,1.4417648315429692,0.0073468685150146484,0.020588235294117647,7.973008377560621,0.0,0.35,Bulk File Transfer,vpn_ftps_B.pcap,vpn_ftps_B.pcap
103.25,103.35031446493039,120.80000000000008,38.57837225261488,39.483870177730324,100.65054893493655,0.7329890727996826,1.3900462962962963,7.084790671423836,0.0,0.95,E-mail,vpn_email2b.pcap,vpn_email2b.pcap
